State;City;Population;;;;
Texas;Southeast Hidalgo;124 914;;;;
Connecticut;Hartford;124 705;;;;
New York;Amherst;122 366;;;;
California;Santa Clara;122 192;;;;
California;Victorville;121 901;;;;
Hawaii;Koolaupoko;121 180;;;;
Texas;Abilene;120 958;;;;
Tennessee;Murfreesboro;120 954;;;;
Indiana;Evansville;120 346;;;;
California;Vallejo;120 228;;;;
Georgia;Athens-Clarke County;119 648;;;;
Pennsylvania;Allentown;119 104;;;;
California;Berkeley;118 853;;;;
Oklahoma;Norman;118 040;;;;
Michigan;Ann Arbor;117 770;;;;
Texas;Beaumont;117 585;;;;
Missouri;Independence;117 494;;;;
Florida;Citrus Park-Fern Lake;117 103;;;;
Missouri;Columbia;116 906;;;;
Illinois;Springfield;116 809;;;;
California;El Monte;116 631;;;;
North Dakota;Fargo;115 863;;;;
Illinois;Peoria;115 828;;;;
Utah;Provo;114 801;;;;
Michigan;Lansing;114 620;;;;
Texas;Odessa;114 597;;;;
California;Downey;114 172;;;;
Florida;Northwest Dade;113 920;;;;
North Carolina;Wilmington;113 657;;;;
Colorado;Arvada;113 574;;;;
California;Costa Mesa;112 784;;;;
Texas;Round Rock;112 744;;;;
California;Carlsbad;112 299;;;;
California;Jurupa;112 225;;;;
Colorado;Westminster;112 090;;;;
California;Inglewood;111 905;;;;
Minnesota;Rochester;111 402;;;;
Texas;East Jefferson;111 383;;;;
California;Fairfield;111 125;;;;
Illinois;Elgin;111 117;;;;
California;Santa Maria Valley;110 971;;;;
Utah;West Jordan;110 920;;;;
California;Ventura;110 873;;;;
Florida;Clearwater;110 703;;;;
New Hampshire;Manchester;110 448;;;;
Florida;North Westside;110 020;;;;
Massachusetts;Lowell;109 945;;;;
Oregon;Gresham;109 892;;;;
Massachusetts;Cambridge;109 694;;;;
California;San Buenaventura (Ventura);109 484;;;;
California;Temecula;109 428;;;;
Connecticut;Waterbury;109 307;;;;
California;Antioch;108 930;;;;
Montana;Billings;108 869;;;;
North Carolina;High Point;108 629;;;;
Texas;Richardson;108 617;;;;
California;Richmond;108 565;;;;
Nevada;Enterprise;108 481;;;;
California;West Covina;108 455;;;;
Colorado;Pueblo;108 423;;;;
California;Mather;108 400;;;;
California;Murrieta;108 368;;;;
Colorado;Centennial;107 201;;;;
California;Norwalk;107 096;;;;
Utah;South Davis;106 781;;;;
South Carolina;North Charleston;106 749;;;;
Washington;Everett;106 736;;;;
Florida;Pompano Beach;106 105;;;;
California;Daly City;106 094;;;;
Florida;Palm Bay;105 838;;;;
California;Burbank;105 368;;;;
Texas;Wichita Falls;105 114;;;;
Colorado;Boulder;105 112;;;;
Wisconsin;Green Bay;104 891;;;;
Oklahoma;Broken Arrow;104 726;;;;
Florida;West Palm Beach;104 031;;;;
Florida;Brandon;103 483;;;;
Texas;College Station;103 483;;;;
Texas;Pearland;103 441;;;;
California;Santa Maria;103 410;;;;
California;El Cajon;103 091;;;;
California;San Mateo;102 893;;;;
Texas;Lewisville;102 889;;;;
California;Rialto;102 741;;;;
Iowa;Davenport;102 448;;;;
Florida;Lakeland;102 346;;;;
Oklahoma;North Cleveland;102 211;;;;
California;Clovis;102 189;;;;
Georgia;Sandy Springs;101 908;;;;
Texas;Tyler;101 421;;;;
New Mexico;Las Cruces;101 408;;;;
New Jersey;Edison;101 207;;;;
