State;City;Population;;;;
New York;Kent;13 507;;;;
California;Grover Beach;13 505;;;;
Washington;East Wenatchee;13 505;;;;
Texas;Hidalgo;13 497;;;;
Washington;White Center;13 495;;;;
Louisiana;River Ridge;13 494;;;;
Florida;Olympia Heights;13 488;;;;
Maryland;Chesapeake Ranch Estates-Drum Point;13 485;;;;
Ohio;Brecksville;13 469;;;;
Florida;Conway;13 467;;;;
Maryland;Glenn Dale;13 466;;;;
Massachusetts;Uxbridge;13 457;;;;
Ohio;Englewood;13 457;;;;
Ohio;Circleville;13 455;;;;
Texas;Timberwood Park;13 447;;;;
Ohio;Washington;13 446;;;;
Tennessee;Snow Hill;13 441;;;;
Minnesota;North Mankato;13 432;;;;
Minnesota;Brainerd;13 425;;;;
California;San Marino;13 423;;;;
Pennsylvania;South Park Township;13 416;;;;
Oregon;Oatfield;13 415;;;;
Wisconsin;Hudson;13 415;;;;
Indiana;Chesterton;13 403;;;;
Georgia;Buford;13 392;;;;
Virginia;Kings Park West;13 390;;;;
New York;Nesconset;13 387;;;;
Massachusetts;Raynham;13 383;;;;
North Carolina;Spring Lake;13 370;;;;
Pennsylvania;Butler;13 369;;;;
Nebraska;South Sioux City;13 360;;;;
Florida;Destin;13 355;;;;
Indiana;Bedford;13 355;;;;
Massachusetts;North Adams;13 354;;;;
California;Discovery Bay;13 352;;;;
Washington;West Richland;13 351;;;;
Minnesota;Sauk Rapids;13 348;;;;
Florida;Bellair-Meadowbrook Terrace;13 343;;;;
North Carolina;Lewisville;13 342;;;;
New York;St. James;13 338;;;;
California;Solana Beach;13 337;;;;
Illinois;Warrenville;13 336;;;;
New York;Ridge;13 336;;;;
Wisconsin;Shorewood;13 331;;;;
Georgia;Boynton Ridge;13 326;;;;
Massachusetts;Bedford;13 320;;;;
New Jersey;Berkeley Heights;13 319;;;;
Arizona;Cottonwood-Verde Village;13 318;;;;
California;Avenal;13 308;;;;
Colorado;Johnstown;13 306;;;;
Minnesota;Fergus Falls;13 304;;;;
Texas;Beeville;13 303;;;;
New York;Riverhead;13 299;;;;
New Jersey;Franklin Park;13 295;;;;
North Carolina;Piney Green;13 293;;;;
Illinois;Streator;13 289;;;;
Ohio;Warrensville Heights;13 286;;;;
Illinois;Western Springs;13 284;;;;
Michigan;Saginaw Township South;13 280;;;;
Ohio;Monroe;13 279;;;;
North Carolina;Mebane;13 277;;;;
Florida;Gonzalez;13 273;;;;
Tennessee;Martha-Laguardo;13 271;;;;
Washington;Port Orchard;13 266;;;;
California;California City;13 263;;;;
Massachusetts;Millbury;13 261;;;;
Minnesota;New Ulm;13 258;;;;
New York;German Flatts;13 258;;;;
Texas;Andrews;13 245;;;;
Pennsylvania;Meadville;13 238;;;;
California;Tehachapi;13 236;;;;
Missouri;Grain Valley;13 236;;;;
North Carolina;Southern Pines;13 235;;;;
Texas;Lockhart;13 232;;;;
Washington;Northwest Benton;13 232;;;;
New Jersey;Mercerville;13 230;;;;
Pennsylvania;Colonial Park;13 229;;;;
Florida;Fruitville;13 224;;;;
South Carolina;Red Hill;13 223;;;;
West Virginia;South Charleston;13 214;;;;
South Carolina;Bear Swamp;13 204;;;;
Ohio;University Heights;13 203;;;;
California;Lindsay;13 192;;;;
Tennessee;Soddy-Daisy;13 190;;;;
Kansas;McPherson;13 189;;;;
Louisiana;Crowley;13 189;;;;
New York;Van Buren;13 185;;;;
Washington;Lake Forest Park;13 184;;;;
Florida;Mount Dora;13 182;;;;
Ohio;Fostoria;13 182;;;;
Hawaii;Waianae;13 177;;;;
West Virginia;Teays Valley;13 175;;;;
Virginia;Brandermill;13 173;;;;
Ohio;Clayton;13 170;;;;
Ohio;Bellefontaine;13 167;;;;
New Jersey;Short Hills;13 165;;;;
Washington;Lynden;13 165;;;;
Pennsylvania;Coatesville;13 164;;;;
South Dakota;Huron;13 163;;;;
New York;Geneva;13 160;;;;
New Jersey;Saddle Brook;13 159;;;;
New York;Wawarsing;13 157;;;;
Rhode Island;East Greenwich;13 146;;;;
Minnesota;Vadnais Heights;13 143;;;;
New Jersey;Verona;13 137;;;;
Minnesota;Monticello;13 136;;;;
Georgia;Lathemtown;13 132;;;;
Arkansas;Harrison;13 130;;;;
South Carolina;Beaufort;13 130;;;;
Colorado;Black Forest;13 116;;;;
Texas;Anderson Mill;13 106;;;;
Illinois;Rantoul;13 100;;;;
South Carolina;Fort Mill;13 087;;;;
New York;Endicott;13 083;;;;
Florida;Palmetto;13 082;;;;
California;Commerce;13 076;;;;
New Hampshire;Claremont;13 074;;;;
Wisconsin;Waunakee;13 067;;;;
Washington;Kingsgate;13 065;;;;
Oregon;St. Helens;13 061;;;;
Florida;Lockhart;13 060;;;;
Kentucky;Hebron;13 050;;;;
California;West Point-Wilseyville;13 048;;;;
New Jersey;Oakland;13 046;;;;
Missouri;Marshall;13 042;;;;
Wisconsin;Stoughton;13 039;;;;
South Carolina;Danwood;13 038;;;;
Ohio;Greenville;13 037;;;;
Indiana;Connersville;13 032;;;;
Florida;Atlantic Beach;13 031;;;;
Oregon;La Grande;13 026;;;;
California;North Auburn;13 022;;;;
Illinois;Justice;13 022;;;;
Ohio;West Carrollton;13 018;;;;
Florida;Thonotosassa;13 014;;;;
Florida;Middleburg;13 008;;;;
Florida;Southwest Leon;13 007;;;;
North Carolina;Newton;13 005;;;;
Kentucky;Bardstown;12 998;;;;
New Jersey;Ridgefield Park;12 996;;;;
Michigan;Rochester;12 995;;;;
Massachusetts;Wayland;12 994;;;;
Pennsylvania;Kingston;12 994;;;;
Louisiana;West Monroe;12 985;;;;
Massachusetts;Charlton;12 981;;;;
Texas;Borger;12 978;;;;
Alabama;Calera;12 972;;;;
Alaska;College;12 964;;;;
Oklahoma;Woodward;12 963;;;;
California;Malibu;12 958;;;;
Mississippi;Grenada;12 956;;;;
Missouri;St. Ann;12 955;;;;
New York;Fort Drum;12 955;;;;
South Carolina;Cayce;12 951;;;;
New Jersey;Succasunna-Kenvil;12 949;;;;
Illinois;Glen Carbon;12 947;;;;
Virginia;Newington;12 943;;;;
Washington;Lakeland North;12 942;;;;
Tennessee;Northeast Wilson;12 940;;;;
Minnesota;Worthington;12 932;;;;
Florida;Key Biscayne;12 924;;;;
Illinois;Shiloh;12 907;;;;
New Hampshire;Pelham;12 897;;;;
Wisconsin;Glendale;12 887;;;;
Kansas;El Dorado;12 879;;;;
California;Grass Valley;12 878;;;;
Pennsylvania;Weigelstown;12 875;;;;
New York;Fallsburg;12 870;;;;
Missouri;Fulton;12 864;;;;
Texas;Santa Fe;12 860;;;;
Ohio;Dover;12 857;;;;
Colorado;Superior;12 855;;;;
Illinois;Herrin;12 852;;;;
Texas;Boerne;12 835;;;;
Indiana;Auburn;12 834;;;;
New Jersey;Holiday City-Berkeley;12 831;;;;
Texas;Athens;12 819;;;;
Ohio;Conneaut;12 813;;;;
South Carolina;Horrell Hill;12 811;;;;
Louisiana;Minden;12 808;;;;
Arkansas;Hot Springs Village;12 807;;;;
California;Cloverdale-Geyserville;12 805;;;;
Ohio;Bedford;12 805;;;;
Pennsylvania;New Kensington;12 796;;;;
Texas;Forest Hill;12 795;;;;
New York;Schodack;12 794;;;;
Pennsylvania;St. Marys;12 793;;;;
Texas;Seabrook;12 792;;;;
Maryland;Kettering;12 790;;;;
New Jersey;Hamilton Square;12 784;;;;
Missouri;Dardenne Prairie;12 783;;;;
Alabama;Eufaula;12 781;;;;
Connecticut;Derby;12 768;;;;
Colorado;Fruita;12 761;;;;
Texas;Port Neches;12 755;;;;
Massachusetts;Medway;12 752;;;;
Colorado;Southeastern El Paso;12 750;;;;
North Carolina;Waxhaw;12 750;;;;
Georgia;Grovetown;12 746;;;;
Georgia;St. Simons;12 743;;;;
Illinois;Centralia;12 742;;;;
Ohio;Finneytown;12 741;;;;
Ohio;Bridgetown North;12 741;;;;
Maryland;New Carrollton;12 708;;;;
Washington;Ferndale;12 704;;;;
Alabama;Sylacauga;12 703;;;;
Mississippi;McComb;12 703;;;;
Tennessee;Boston;12 703;;;;
Ohio;West Carrollton City;12 692;;;;
Illinois;Markham;12 688;;;;
Illinois;Lincolnwood;12 687;;;;
Tennessee;Middle Valley;12 684;;;;
Connecticut;Oxford;12 683;;;;
Oklahoma;Elk City;12 680;;;;
Louisiana;Belle Chasse;12 679;;;;
Maryland;Riviera Beach;12 677;;;;
California;San Anselmo;12 676;;;;
California;Pedley;12 672;;;;
New York;Kingsbury;12 671;;;;
California;El Sobrante;12 669;;;;
Hawaii;Nanakuli;12 666;;;;
Minnesota;Mounds View;12 657;;;;
Washington;Artondale;12 653;;;;
Wisconsin;Bellevue Town;12 651;;;;
New York;Cornwall;12 646;;;;
Iowa;Boone;12 633;;;;
Washington;Snoqualmie;12 630;;;;
Wyoming;Green River;12 630;;;;
Georgia;Dallas;12 629;;;;
Pennsylvania;Montgomeryville;12 624;;;;
Illinois;Channahon;12 616;;;;
Maryland;Joppatowne;12 616;;;;
Illinois;Palos Heights;12 597;;;;
South Carolina;Gaffney;12 597;;;;
Illinois;Kewanee;12 596;;;;
Michigan;Woodhaven;12 594;;;;
Florida;Hamptons at Boca Raton;12 593;;;;
Ohio;Wickliffe;12 584;;;;
Illinois;Effingham;12 577;;;;
Maryland;Cambridge;12 569;;;;
Maryland;Kemp Mill;12 564;;;;
Tennessee;Lakeland;12 564;;;;
Florida;Azalea Park;12 556;;;;
Texas;Rendon;12 552;;;;
Georgia;Lilburn;12 543;;;;
California;Bonita;12 538;;;;
Maine;York;12 529;;;;
California;East Sonora-Phoenix Lake;12 519;;;;
Maryland;District 3;12 515;;;;
Ohio;Powell;12 511;;;;
Kansas;Andover;12 509;;;;
Georgia;Three Sisters Mountains;12 508;;;;
Maryland;District 10;12 502;;;;
Connecticut;Windsor Locks;12 498;;;;
Georgia;Bainbridge;12 496;;;;
New York;Highlands;12 492;;;;
Texas;Northeast Brazos;12 491;;;;
Illinois;Winnetka;12 490;;;;
Florida;North Palm Beach;12 483;;;;
Mississippi;Brookhaven;12 470;;;;
Alabama;Moody;12 457;;;;
Massachusetts;Amesbury;12 457;;;;
Pennsylvania;Ardmore;12 455;;;;
Florida;Eglin;12 450;;;;
Colorado;Bald Mountain;12 449;;;;
Louisiana;Abbeville;12 446;;;;
New Jersey;Red Bank;12 445;;;;
Alabama;Irondale;12 444;;;;
Virginia;Newington Forest;12 442;;;;
Connecticut;Coventry;12 435;;;;
Wisconsin;Fort Atkinson;12 430;;;;
California;Lake Arrowhead;12 424;;;;
New Jersey;New Providence;12 422;;;;
Virginia;Mount Vernon;12 416;;;;
California;Grand Terrace;12 414;;;;
Pennsylvania;Fernway;12 414;;;;
Michigan;Escanaba;12 413;;;;
Mississippi;Cleveland;12 412;;;;
New York;Lewisboro;12 411;;;;
Florida;Panama City Beach;12 408;;;;
Ohio;Loveland;12 405;;;;
Kansas;Ottawa;12 403;;;;
New Jersey;Woodland Park;12 403;;;;
California;Garberville;12 402;;;;
Texas;Port Lavaca;12 399;;;;
Florida;South Daytona;12 397;;;;
Minnesota;Rogers;12 393;;;;
Florida;South Peninsula;12 390;;;;
Texas;Four Corners;12 382;;;;
New Jersey;Ringwood;12 377;;;;
Ohio;Wilmington;12 375;;;;
Illinois;Northlake;12 372;;;;
California;Half Moon Bay;12 371;;;;
Oregon;De Lake;12 365;;;;
New York;Patchogue;12 364;;;;
Nevada;Spring Creek;12 361;;;;
Maryland;Forestville;12 353;;;;
Louisiana;Bayou Blue;12 352;;;;
Oregon;Agate Beach;12 351;;;;
New Jersey;Edgewater;12 343;;;;
New York;Miller Place;12 339;;;;
Washington;Southern Slopes;12 330;;;;
California;Lake Los Angeles;12 328;;;;
New York;Ulster;12 327;;;;
Wisconsin;Plover;12 326;;;;
California;Larkspur;12 325;;;;
Arkansas;Marion;12 321;;;;
Virginia;Broadlands;12 313;;;;
Texas;Lumberton;12 312;;;;
Florida;World Golf Village;12 310;;;;
California;Big Bear City;12 304;;;;
Wisconsin;Platteville;12 281;;;;
Arkansas;Mountain Home;12 278;;;;
Maryland;Overlea;12 275;;;;
Missouri;West Plains;12 275;;;;
New York;North Merrick;12 272;;;;
Michigan;New Baltimore;12 269;;;;
Florida;Port St. John;12 267;;;;
Colorado;Steamboat Springs;12 260;;;;
Ohio;Trenton;12 260;;;;
Kansas;Winfield;12 258;;;;
New Jersey;Eatontown;12 257;;;;
Montana;Upper Yellowstone Valley;12 251;;;;
Alabama;Jacksonville;12 250;;;;
Kentucky;Mount Washington;12 246;;;;
Connecticut;Plymouth;12 243;;;;
Florida;Wilton Manors;12 243;;;;
Massachusetts;Harwich;12 243;;;;
Louisiana;Mandeville;12 236;;;;
New Mexico;Portales;12 233;;;;
California;Marysville;12 231;;;;
Florida;Sanderson;12 231;;;;
Oklahoma;Okmulgee;12 227;;;;
Minnesota;North St. Paul;12 224;;;;
Michigan;Riverview;12 222;;;;
Tennessee;Portland;12 218;;;;
New York;Dunkirk;12 216;;;;
Illinois;Chatham;12 212;;;;
Arizona;Coolidge;12 209;;;;
Kansas;Arkansas City;12 205;;;;
Kentucky;Flaherty;12 202;;;;
Florida;Gulfport;12 198;;;;
Arizona;Tucson Estates;12 192;;;;
Texas;Freeport;12 191;;;;
Wyoming;Evanston;12 190;;;;
Oregon;Cornelius;12 185;;;;
Florida;South Miami;12 183;;;;
Indiana;Purdue University;12 183;;;;
Virginia;Timberlake;12 183;;;;
Colorado;Federal Heights;12 178;;;;
Indiana;Lake Station;12 175;;;;
Massachusetts;Palmer Town;12 174;;;;
New York;Haverstraw;12 172;;;;
New York;Babylon;12 172;;;;
Washington;Central Whidbey;12 168;;;;
Maryland;Travilah;12 159;;;;
Florida;Hudson;12 158;;;;
New Jersey;Somerville;12 153;;;;
Ohio;Blue Ash;12 149;;;;
New Jersey;Hasbrouck Heights;12 147;;;;
New York;Stony Point;12 147;;;;
Ohio;Amherst;12 143;;;;
Arizona;New Kingman-Butler;12 134;;;;
Missouri;Neosho;12 134;;;;
Oklahoma;Guymon;12 128;;;;
Texas;Wells Branch;12 120;;;;
Louisiana;Luling;12 119;;;;
New York;Mount Sinai;12 118;;;;
Oregon;City of The Dalles;12 113;;;;
West Virginia;Kabletown district;12 110;;;;
Florida;Fernandina Beach;12 103;;;;
South Carolina;Highland;12 102;;;;
Wisconsin;Brown Deer;12 102;;;;
Indiana;Speedway;12 101;;;;
Florida;Lake City;12 100;;;;
New York;Salisbury;12 093;;;;
Connecticut;Stafford;12 087;;;;
Ohio;Salem;12 087;;;;
New York;Mamakating;12 085;;;;
Wisconsin;Baraboo;12 085;;;;
Minnesota;Cloquet;12 081;;;;
Louisiana;Woodmere;12 080;;;;
New York;North Greenbush;12 075;;;;
Virginia;Neabsco;12 068;;;;
Wisconsin;Salem;12 067;;;;
Florida;Florida City;12 062;;;;
Nebraska;Beatrice;12 055;;;;
Oregon;Southwest Jackson;12 054;;;;
Michigan;Clawson;12 049;;;;
Virginia;Poquoson;12 048;;;;
Ohio;Norton;12 042;;;;
Florida;Goldenrod;12 039;;;;
Indiana;Madison;12 035;;;;
Virginia;Fairfax Station;12 030;;;;
New York;Patterson;12 023;;;;
Idaho;Emmett Valley;12 022;;;;
Indiana;Washington;12 020;;;;
New Mexico;Los Alamos;12 019;;;;
Texas;Richmond;12 018;;;;
Oklahoma;Sill;12 014;;;;
Missouri;Maryville;12 007;;;;
Wisconsin;Verona;12 003;;;;
Florida;Jupiter Farms;11 994;;;;
Oklahoma;Choctaw;11 992;;;;
Oklahoma;Weatherford;11 989;;;;
Texas;La Homa;11 985;;;;
North Carolina;Davidson;11 981;;;;
New Jersey;Martinsville;11 980;;;;
Hawaii;Kailua;11 975;;;;
New Jersey;Freehold;11 973;;;;
Ohio;Bucyrus;11 973;;;;
Rhode Island;North Smithfield;11 967;;;;
New York;North Wantagh;11 960;;;;
Arizona;Apache;11 958;;;;
Connecticut;Griswold;11 951;;;;
Missouri;Crestwood;11 951;;;;
Ohio;Monfort Heights;11 948;;;;
Washington;Riverton-Boulevard Park;11 948;;;;
Kentucky;Spottsville;11 944;;;;
Louisiana;Morgan City;11 943;;;;
New York;Brunswick;11 941;;;;
New Jersey;Cedar Grove;11 940;;;;
Alabama;Leeds;11 939;;;;
Louisiana;Bogalusa;11 926;;;;
Virginia;Jamestown district;11 926;;;;
Maryland;Bennsville;11 923;;;;
Virginia;Dranesville;11 921;;;;
Texas;Glenn Heights;11 915;;;;
Texas;West Brazos;11 913;;;;
Virginia;Cascades;11 912;;;;
New Jersey;Glen Rock;11 901;;;;
South Carolina;Irmo;11 893;;;;
California;Fortuna;11 888;;;;
New Jersey;Pennsville;11 888;;;;
Oregon;Gladstone;11 888;;;;
Missouri;Festus;11 885;;;;
Wisconsin;Suamico;11 878;;;;
Arizona;Western;11 873;;;;
South Carolina;Port Royal;11 870;;;;
Washington;Lake Tapps;11 859;;;;
California;Scotts Valley;11 858;;;;
Illinois;Schiller Park;11 857;;;;
Maryland;California;11 857;;;;
Kentucky;Shepherdsville;11 856;;;;
Oklahoma;Glenpool;11 855;;;;
Indiana;Cedar Lake;11 854;;;;
New York;Terryville;11 849;;;;
Virginia;Lakeside;11 849;;;;
Florida;Cypress Lake;11 846;;;;
Nevada;Incline Village;11 844;;;;
Nevada;Incline Village-Crystal Bay;11 844;;;;
New Mexico;Artesia;11 842;;;;
New York;North Castle;11 841;;;;
New Mexico;Lovington;11 840;;;;
Florida;Westwood Lakes;11 838;;;;
New Jersey;Florham Park;11 829;;;;
New York;Farmington;11 825;;;;
Georgia;Georgetown;11 823;;;;
Tennessee;Lascassas;11 822;;;;
Indiana;Greensburg;11 817;;;;
Idaho;Blackfoot;11 814;;;;
Ohio;Franklin;11 811;;;;
New York;Putnam Valley;11 809;;;;
Virginia;Sugarland Run;11 799;;;;
Ohio;Beachwood;11 797;;;;
Washington;Kelso;11 788;;;;
Tennessee;Red Bank;11 784;;;;
Missouri;Bridgeton;11 782;;;;
New Hampshire;Somersworth;11 777;;;;
Minnesota;Waconia;11 774;;;;
Rhode Island;Newport East;11 769;;;;
Florida;Holly Hill;11 765;;;;
Alabama;Chelsea;11 758;;;;
Indiana;Martinsville;11 744;;;;
North Carolina;Smithfield;11 735;;;;
California;Kingsburg;11 732;;;;
California;Los Alamitos;11 716;;;;
Oregon;Badger Mountain;11 715;;;;
Kansas;Lansing;11 713;;;;
Michigan;South Lyon;11 713;;;;
Pennsylvania;Robinson Township;11 712;;;;
Maryland;Ocean Pines;11 710;;;;
Florida;Jensen Beach;11 707;;;;
Hawaii;Lahaina;11 704;;;;
Ohio;Seven Hills;11 702;;;;
California;Clayton;11 690;;;;
Minnesota;Alexandria;11 680;;;;
Hawaii;Waipio;11 674;;;;
Georgia;Douglas;11 665;;;;
Missouri;Mexico;11 664;;;;
Texas;Robstown;11 657;;;;
California;Healdsburg;11 656;;;;
New York;North Lindenhurst;11 652;;;;
New York;Fulton;11 648;;;;
New York;Wyandanch;11 647;;;;
Ohio;Ravenna;11 643;;;;
Minnesota;East Bethel;11 642;;;;
Tennessee;Sulphur Springs;11 636;;;;
Tennessee;Arlington;11 634;;;;
Maryland;Lexington Park;11 626;;;;
New Jersey;Wallington;11 626;;;;
Oregon;North Siuslaw;11 623;;;;
Pennsylvania;Elizabethtown;11 611;;;;
Washington;Lea Hill;11 609;;;;
Massachusetts;Rehoboth;11 608;;;;
Arizona;Verde Village;11 605;;;;
Utah;Canyon Rim;11 601;;;;
Illinois;Pontiac;11 599;;;;
Massachusetts;Lynnfield;11 596;;;;
Arizona;Cottonwood;11 595;;;;
Wisconsin;Port Washington;11 586;;;;
Ohio;Mack;11 585;;;;
Utah;West Haven;11 582;;;;
New Jersey;River Edge;11 579;;;;
Ohio;Macedonia;11 579;;;;
Texas;El Campo;11 577;;;;
Washington;Lakeland South;11 574;;;;
Texas;Snyder;11 571;;;;
California;Home Gardens;11 570;;;;
Minnesota;St. Peter;11 570;;;;
Arkansas;Camden;11 569;;;;
Florida;Villas;11 569;;;;
California;Sun Village;11 565;;;;
New Jersey;Upper Montclair;11 565;;;;
Texas;Red Oak;11 560;;;;
Oregon;Mount Hood;11 559;;;;
Utah;Oquirrh;11 558;;;;
Louisiana;Moss Bluff;11 557;;;;
Mississippi;Byram;11 556;;;;
Washington;Enumclaw;11 548;;;;
Rhode Island;Valley Falls;11 547;;;;
California;Redwood-Potter;11 545;;;;
New York;North Bellport;11 545;;;;
Texas;Webb;11 542;;;;
California;Lakeland Village;11 541;;;;
Iowa;Oskaloosa;11 541;;;;
North Carolina;Archdale;11 539;;;;
Texas;Greatwood;11 538;;;;
Colorado;Firestone;11 537;;;;
New York;Tarrytown;11 537;;;;
Florida;Gladeview;11 535;;;;
Louisiana;Destrehan;11 535;;;;
Tennessee;Lanier;11 534;;;;
Pennsylvania;Lower Burrell;11 531;;;;
Wisconsin;Grafton;11 531;;;;
Texas;Azle;11 530;;;;
Florida;Estero Island;11 528;;;;
California;Signal Hill;11 526;;;;
Pennsylvania;Yeadon;11 525;;;;
Ohio;Urbana;11 524;;;;
Florida;Shady Hills;11 523;;;;
Florida;Hobe Sound;11 521;;;;
Massachusetts;Carver;11 509;;;;
Louisiana;Claiborne;11 507;;;;
Wisconsin;Cedarburg;11 506;;;;
Florida;Yulee;11 491;;;;
Arkansas;Magnolia;11 489;;;;
Missouri;Excelsior Springs;11 488;;;;
New Jersey;Guttenberg;11 481;;;;
Virginia;Gainesville;11 481;;;;
California;Central Shasta;11 467;;;;
Washington;Prairie Ridge;11 464;;;;
Michigan;Fenton;11 463;;;;
Texas;Buda;11 461;;;;
Wisconsin;Richfield;11 460;;;;
New Jersey;Bellmawr;11 454;;;;
Illinois;Summit;11 447;;;;
New Jersey;Wanaque;11 447;;;;
New York;Endwell;11 446;;;;
Connecticut;Somers;11 444;;;;
Michigan;Ionia;11 439;;;;
Wisconsin;Two Rivers;11 437;;;;
South Carolina;Parker;11 431;;;;
Kentucky;Somerset;11 422;;;;
Idaho;Garden City;11 420;;;;
Maryland;Mays Chapel;11 420;;;;
Washington;Cheney;11 420;;;;
Texas;Robinson;11 416;;;;
California;Hillsborough;11 413;;;;
California;Mendota;11 412;;;;
Massachusetts;Webster;11 412;;;;
New Jersey;Haddonfield;11 411;;;;
Hawaii;Hawaiian Paradise Park;11 404;;;;
Florida;Cocoa Beach;11 400;;;;
Michigan;Niles;11 400;;;;
Florida;Southeast Leon;11 398;;;;
Texas;Clute;11 392;;;;
Massachusetts;Dudley;11 390;;;;
Mississippi;Bay St. Louis;11 388;;;;
Wisconsin;Waupun;11 377;;;;
New Jersey;Ocean City;11 374;;;;
Pennsylvania;Carnot-Moon;11 372;;;;
Washington;Woodinville;11 372;;;;
Tennessee;Lewisburg;11 371;;;;
New Jersey;Greentree;11 367;;;;
Mississippi;Yazoo City;11 366;;;;
Missouri;Troy;11 355;;;;
Missouri;Branson;11 340;;;;
Pennsylvania;Emmaus;11 335;;;;
New Mexico;North Valley;11 333;;;;
Oregon;Oak Hills;11 333;;;;
Tennessee;Crossville;11 330;;;;
Colorado;Fort Morgan;11 329;;;;
Florida;Lakewood Park;11 323;;;;
Tennessee;Alpha;11 323;;;;
Tennessee;Martin;11 322;;;;
Arkansas;Helena-West Helena;11 320;;;;
Illinois;Campton Hills;11 317;;;;
New Jersey;Gloucester City;11 317;;;;
New York;Elma;11 317;;;;
Florida;Mango;11 313;;;;
Nevada;Gardnerville Ranchos;11 312;;;;
Kentucky;Lyndon;11 311;;;;
California;Magalia;11 310;;;;
North Carolina;Tarboro;11 310;;;;
Pennsylvania;Munhall;11 305;;;;
Maryland;Walker Mill;11 302;;;;
Texas;Tomball;11 299;;;;
New Jersey;Robertsville;11 297;;;;
Massachusetts;Tyngsborough;11 292;;;;
Kansas;Merriam;11 290;;;;
New Jersey;Ridgefield;11 289;;;;
Michigan;Grosse Pointe Park;11 288;;;;
California;Foothill Ranch;11 286;;;;
Virginia;Madison Heights;11 285;;;;
Connecticut;Granby;11 282;;;;
Kentucky;Campbellsville;11 282;;;;
Oklahoma;Keystone Lake;11 275;;;;
Georgia;Nelson-Tate-Marble Hill;11 268;;;;
Virginia;Huntington;11 267;;;;
Massachusetts;Weston;11 261;;;;
Michigan;East Grand Rapids;11 258;;;;
New Jersey;Beachwood;11 253;;;;
Virginia;Lansdowne;11 253;;;;
New York;Chenango;11 252;;;;
Connecticut;Winchester;11 242;;;;
New York;Lake Grove;11 241;;;;
California;Piedmont;11 236;;;;
Pennsylvania;Jefferson Hills;11 232;;;;
Georgia;Richmond Hill;11 229;;;;
California;Emeryville;11 227;;;;
Massachusetts;Norfolk;11 227;;;;
Texas;Trophy Club;11 227;;;;
New Jersey;Browns Mills;11 223;;;;
Minnesota;Mendota Heights;11 222;;;;
Indiana;Yorktown;11 220;;;;
Pennsylvania;Shiloh;11 218;;;;
Delaware;Pike Creek Valley;11 217;;;;
Ohio;Springdale;11 212;;;;
Illinois;River Forest;11 208;;;;
Colorado;Berkley;11 207;;;;
Iowa;Spencer;11 206;;;;
New Hampshire;Amherst;11 201;;;;
Washington;Newcastle;11 201;;;;
Illinois;Minooka;11 194;;;;
Arkansas;Centerton;11 193;;;;
Louisiana;Jefferson;11 193;;;;
Florida;Hutchinson Island;11 192;;;;
New York;Oneida;11 192;;;;
Idaho;Jerome;11 189;;;;
Maine;Falmouth;11 185;;;;
Texas;Galena Park;11 178;;;;
Georgia;Fort Benning;11 177;;;;
New York;Elwood;11 177;;;;
Alabama;Websters Chapel-Alexandria Valley;11 175;;;;
Illinois;Plano;11 175;;;;
Delaware;Smyrna;11 170;;;;
New Jersey;Pompton Lakes;11 166;;;;
California;Sierra Madre;11 165;;;;
Connecticut;East Windsor;11 162;;;;
New Jersey;Westwood;11 149;;;;
Texas;Burkburnett;11 142;;;;
Washington;East Renton Highlands;11 140;;;;
Washington;Grandview;11 140;;;;
Colorado;Cherry Creek;11 120;;;;
Tennessee;Karns;11 119;;;;
Texas;Raymondville;11 117;;;;
New Jersey;Bound Brook;11 116;;;;
Texas;Webster;11 115;;;;
Kansas;Haysville;11 112;;;;
Florida;Middle Keys;11 111;;;;
Ohio;Coshocton;11 107;;;;
New York;Mount Kisco;11 103;;;;
Washington;Hazel Dell North;11 103;;;;
New York;Dobbs Ferry;11 098;;;;
Arizona;Camp Verde;11 097;;;;
Minnesota;Grand Rapids;11 097;;;;
Utah;Woods Cross;11 097;;;;
Oklahoma;Guthrie;11 096;;;;
Kentucky;Lawrenceburg;11 093;;;;
Mississippi;West Point;11 093;;;;
Massachusetts;South Yarmouth;11 092;;;;
Alabama;Morris Chapel;11 091;;;;
South Dakota;Spearfish;11 091;;;;
Tennessee;Millington;11 080;;;;
Indiana;Peru;11 079;;;;
California;View Park-Windsor Hills;11 075;;;;
Missouri;Webb City;11 075;;;;
Florida;East Milton;11 074;;;;
Florida;Orange City;11 056;;;;
Florida;Lakeland Highlands;11 056;;;;
Washington;Fort Lewis;11 046;;;;
Tennessee;White House;11 042;;;;
California;Diamond Springs;11 037;;;;
New Hampshire;Londonderry;11 037;;;;
Illinois;Crestwood;11 029;;;;
Nevada;Golconda;11 024;;;;
Georgia;Loganville;11 022;;;;
Arizona;Chino Valley;11 019;;;;
California;Sonoma;11 017;;;;
Texas;Leon Valley;11 015;;;;
Utah;Smithfield;11 014;;;;
California;Canyon Lake;11 010;;;;
Louisiana;Youngsville;11 006;;;;
Florida;Lantana;10 996;;;;
Ohio;Ironton;10 995;;;;
Nebraska;Chalco;10 994;;;;
New York;Corning;10 993;;;;
New York;Suffern;10 991;;;;
Alabama;Fairfield;10 988;;;;
Oregon;Ontario;10 982;;;;
Pennsylvania;Mountain Top;10 982;;;;
Florida;Doctor Phillips;10 981;;;;
Missouri;Town and Country;10 975;;;;
Illinois;Taylorville;10 971;;;;
