count,mass
1.0,4.0
5.0,1.0
191.0,69955.0
1.0,206.0
2.0,0.0
75.0,51.0
1.0,7.0
169.0,722.0
1.0,1.0
4.0,30.0
1.0,1.0
1.0,2.0
16.0,4.0
1.0,1.0
4.0,14.0
36.0,52.0
6.0,1180.0
1.0,1.0
15.0,28.0
4.0,1.0
323.0,568.0
1.0,0.0
2.0,1.0
54.0,78.0
10.0,4.0
7.0,1.0
14.0,9.0
6.0,104.0
63.0,167.0
18.0,44.0
1.0,2.0
25.0,11.0
2.0,1.0
66.0,57.0
2.0,0.0
1.0,55.0
2.0,6.0
52.0,11.0
17.0,17.0
14.0,1.0
47.0,46.0
31.0,12.0
58.0,20.0
16.0,126.0
12.0,19.0
20.0,8.0
12.0,4.0
38.0,13.0
27.0,12.0
10.0,331.0
1.0,3.0
2.0,0.0
2.0,1.0
2.0,22.0
12.0,17.0
3.0,2.0
475.0,388.0
469.0,89.0
1.0,0.0
4.0,8.0
1.0,2.0
2.0,1.0
5.0,3.0
3.0,2.0
8.0,4.0
1.0,1.0
17.0,48.0
3.0,1.0
1.0,2.0
16.0,4.0
2.0,1.0
1.0,1.0
1.0,1.0
3.0,1.0
3.0,2.0
7.0,2.0
2.0,1.0
127.0,25.0
1.0,2.0
74.0,1443.0
20.0,35.0
9.0,5.0
4.0,0.0
2.0,1.0
46.0,68.0
6.0,12.0
3.0,2.0
98.0,72.0
1.0,1.0
95.0,27.0
2.0,52.0
1.0,25.0
1.0,4.0
12.0,20453.0
2.0,10.0
2.0,75.0
2.0,35.0
5.0,8.0
4.0,3.0
3.0,115.0
1.0,4.0
3.0,124.0
7.0,3.0
1.0,2.0
2.0,48.0
13.0,19.0
17.0,45.0
33.0,98.0
3.0,6.0
15.0,57.0
3.0,14.0
1.0,9.0
6.0,3.0
4.0,2.0
1.0,2.0
33.0,31.0
21.0,5674.0
1.0,0.0
1.0,113.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,4.0
10.0,10.0
5.0,11.0
16.0,9.0
11.0,2226.0
3.0,375.0
1.0,5.0
11.0,2.0
1.0,2.0
1.0,1.0
7.0,1.0
1.0,0.0
1.0,142.0
3.0,6.0
1.0,6.0
6.0,4.0
1.0,6.0
2.0,6.0
2.0,1768.0
7.0,203.0
3.0,0.0
1.0,0.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,7.0
2.0,1.0
8.0,4.0
2.0,1.0
39.0,57.0
2.0,258.0
327.0,939.0
2.0,4.0
1.0,1.0
4.0,1.0
4.0,110.0
7.0,172.0
1.0,3.0
2.0,3.0
1.0,0.0
6.0,38.0
5.0,2.0
1.0,1.0
1.0,8.0
1.0,4.0
1.0,0.0
1.0,0.0
1.0,2.0
1.0,0.0
3.0,1.0
1.0,1.0
4.0,1.0
4.0,6.0
1.0,1.0
3.0,2.0
2.0,1.0
1.0,0.0
21.0,2.0
3.0,6.0
1.0,101.0
