#source: https://catalogue.data.govt.nz/dataset/marine-litter-2018-2019
SurveyArea,SurveyDate,SurveyId,Region,MonitoringSite,SurveyLengthMeters,AboveHighTideMeters,BelowHighTideMeters,SurveyStartDateTime,SurveyEndDateTime,TotalNumberOfCitizenScientists,AuditStartDateTime,AuditEndDateTime,NumberOfAuditors,LitterCategory,LitterItem,Count,Weight,WeightConfidence,Grade,SurveyAreaLatitudeStart,SurveyAreaLongitudeStart,SurveyAreaLatitudeEnd,SurveyAreaLongitudeEnd
"Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Metal,""Wire, wire mesh & barbed wire"",14,2079,High,N/A,-41.14591,173.00091,-41.14538,173.00188"
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Glass & ceramic,Construction material,18,33994,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Metal,Aluminium drink cans,30,830,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Glass & ceramic,Bottles & jars,37,10420,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,Bottles <= 2 L,44,1338,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,Fishing line,1,21,Low,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Metal,Other cans (<= 4 L),1,12,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,Cigarette lighters,3,47,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Paper & cardboard,Paper,14,233,Low,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,Rope,4,25,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,Pens,1,8,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,Shotgun wadding & shells,1,11,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Cloth,Footwear & shoes,3,459,Low,N/A,-41.14591,173.00091,-41.14538,173.00188
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Plastic,Resin pellets,1,0,N/A,B,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Metal,Unidentifiable metal fragments,1,14,High,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Plastic,Other (specify),1,0,Low,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Cloth,""Rope, line or string (natural)"",2,0,Low,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Other,Other (specify),2,0,Low,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Plastic,Strapping bands,1,2,High,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Other,Sanitary items,1,0,N/A,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Plastic,Rope,20,3,Low,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Foamed Plastic,Unidentifiable foamed plastic fragments,5,1,High,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Plastic,Fishing line,4,0,Low,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Plastic,""Cigarettes, butts & filters"",7,2,High,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Metal,""Bottle caps, lids & pull tabs"",4,9,High,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Glass & ceramic,Glass or ceramic fragments,7,64,High,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Plastic,Unidentifiable hard plastic fragments,27,4,Low,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Plastic,Food wrappers,15,0,Low,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Rubber,Rubber bands,1,0,Low,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Rubber,Unidentifiable rubber fragments,2,4,High,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Plastic,Plastic bags,1,0,Low,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Plastic,Straws,1,1,Low,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Glass & ceramic,Construction material,2,175,High,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Cloth,Other cloth (including rags),2,22,Low,N/A,-36.78103,175.01031,-36.78024,175.00974"
"BBQs,2019-03-27,85,Auckland,""Oneroa Beach, Waiheke"",100,10,10,3/27/2019 3:45:00 PM,3/27/2019 4:50:00 PM,13,3/27/2019 6:10:00 PM,3/27/2019 6:36:00 PM,9,Wood,Processed timber & pallet crates,2,680,High,N/A,-36.78103,175.01031,-36.78024,175.00974"
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Plastic,Resin pellets,1,0,N/A,A,-38.71101,177.94445,-38.71171,177.94383
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Plastic,Unidentifiable hard plastic fragments,10,30,High,N/A,-38.71101,177.94445,-38.71171,177.94383
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Plastic,Rope,2,377,Low,N/A,-38.71101,177.94445,-38.71171,177.94383
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Other,Other (specify),4,19,Low,N/A,-38.71101,177.94445,-38.71171,177.94383
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Cloth,Footwear & shoes,1,743,Low,N/A,-38.71101,177.94445,-38.71171,177.94383
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Plastic,Food wrappers,2,1,High,N/A,-38.71101,177.94445,-38.71171,177.94383
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Metal,Aluminium drink cans,4,92,Low,N/A,-38.71101,177.94445,-38.71171,177.94383
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Plastic,Plastic bags,2,2,High,N/A,-38.71101,177.94445,-38.71171,177.94383
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Plastic,Bottle caps & lids,3,6,High,N/A,-38.71101,177.94445,-38.71171,177.94383
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Plastic,Other (specify),1,2,High,N/A,-38.71101,177.94445,-38.71171,177.94383
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Paper & cardboard,Cardboard boxes & fragments,1,2,High,N/A,-38.71101,177.94445,-38.71171,177.94383
"Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Plastic,""Toys, balls & party poppers"",1,10,High,N/A,-38.71101,177.94445,-38.71171,177.94383"
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Foamed Plastic,Other (specify),1,1,High,N/A,-38.71101,177.94445,-38.71171,177.94383
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Plastic,Plastic sheeting,1,1,High,N/A,-38.71101,177.94445,-38.71171,177.94383
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Plastic,Strapping bands,1,1,High,N/A,-38.71101,177.94445,-38.71171,177.94383
Big River,2019-04-05,93,Gisborne,Waikanae Beach,100,10,10,4/5/2019 11:00:00 AM,4/5/2019 11:43:00 AM,7,4/5/2019 1:20:00 AM,4/5/2019 2:11:00 AM,7,Wood,Processed timber & pallet crates,1,1855,Low,N/A,-38.71101,177.94445,-38.71171,177.94383
Breaker bay east,2019-02-20,67,Wellington,Breaker Bay,100,10,10,2/20/2019 5:30:00 PM,2/20/2019 6:10:00 PM,14,2/21/2019 10:22:00 AM,2/21/2019 10:22:00 AM,3,Plastic,Resin pellets,1,0,N/A,A,-41.32993,174.83336,-41.32978,174.83455
Breaker bay east,2019-02-20,67,Wellington,Breaker Bay,100,10,10,2/20/2019 5:30:00 PM,2/20/2019 6:10:00 PM,14,2/21/2019 10:22:00 AM,2/21/2019 10:22:00 AM,3,Plastic,Food wrappers,5,1,Low,N/A,-41.32993,174.83336,-41.32978,174.83455
"Breaker bay east,2019-02-20,67,Wellington,Breaker Bay,100,10,10,2/20/2019 5:30:00 PM,2/20/2019 6:10:00 PM,14,2/21/2019 10:22:00 AM,2/21/2019 10:22:00 AM,3,Plastic,""Cigarettes, butts & filters"",3,1,Low,N/A,-41.32993,174.83336,-41.32978,174.83455"
Breaker bay east,2019-02-20,67,Wellington,Breaker Bay,100,10,10,2/20/2019 5:30:00 PM,2/20/2019 6:10:00 PM,14,2/21/2019 10:22:00 AM,2/21/2019 10:22:00 AM,3,Cloth,Footwear & shoes,1,13,High,N/A,-41.32993,174.83336,-41.32978,174.83455
Breaker bay east,2019-02-20,67,Wellington,Breaker Bay,100,10,10,2/20/2019 5:30:00 PM,2/20/2019 6:10:00 PM,14,2/21/2019 10:22:00 AM,2/21/2019 10:22:00 AM,3,Plastic,Cable ties & zip ties,2,4,High,N/A,-41.32993,174.83336,-41.32978,174.83455
